Infinite Flight Livery Name,Color 1,Color 2,Color 3
Air New Zealand - All Blacks,#1d252f,#f4f3f0,#1d2530
Cathay Pacific - oneworld,#f1f2f2,#344aa0,#284e50
Garuda Indonesia,#f4f4f1,#2c599f,#5db3de
Jet Airways,#f4f5f5,#21244c,#ba8338
KLM - Orange Pride,#e18649,#57b7eb,#dcdeda
Kuwait Airways,#f3f3f1,#2e4889,#4694eb
Philippine Airlines,#f4f4f2,#9a2f35,#2d3d55
Qatar Airways - Retro,#f4f5f5,#8b2d4f,#f6f6f6
Boeing,#f4f4f1,#bf4038,#f4f4f1
Boeing,#f4f4f2,#d4554d,#486c9b
ANA Cargo,#e7e8e4,#173d88,#e0e1dd
AeroLogic,#f1f1ed,#52595d,#f7e44c
Air France Cargo,#efefec,#204196,#d62f28
China Cargo,#f1f1ee,#c72a22,#2c4180
China Southern Cargo,#efefec,#469ccf,#cd2c1f
Eva Air Cargo,#f1f1ee,#4ea166,#374136
Emirates Sky Cargo,#e15653,#e4e4e0,#46753a
Ethiopian Cargo,#6ca833,#eddd4b,#c93b44
Boeing,#2e0490,#f2f2ef,#e44125
Korean Air Cargo,#63d8e2,#db4946,#e5e6e2
LAN Cargo,#364d97,#f1f1ee,#9b3e4f
Lufthansa Cargo,#f1f1ed,#1c264e,#f1f1ed
Saudia Cargo,#e5e4dd,#171a6e,#d5ad57
Southern Air,#f1f1ee,#d59436,#c72930
Boeing,#e3643c,#323d54,#f0f1ed
Turkish Cargo,#f1f1ee,#97342e,#3b4e78
EVA Air,#f2f2ed,#55bc5b,#152a1a
Boeing,#f4f3ee,#091d62,#b9b29a
Singapore Airlines,#f3f2ed,#121e3a,#d0bb7a
United Airlines,#f3f3ed,#12226e,#af8a60
Aeromexico,#f1f0eb,#101a43,#ce3328
Boeing,#0f1c63,#63abf0,#f2f2ed
China Southern,#f2f2ec,#6dc7e4,#da3124
Infinite Flight - 2016,#1c1d25,#f79725,#f6f7f5
Jetstar,#e1e1dc,#e97a38,#131414
Kenya Airways,#f2f1ec,#d9322f,#408f63
LOT Polish Airlines,#f2f1ec,#0c0f3e,#ac2520
Qatar Airways,#c0c3b8,#6c183b,#ebebe5
Royal Air Maroc,#f2f2ec,#a92924,#61826c
Royal Jordanian,#464846,#8f7e56,#e3392b
Thai Airways,#f3f3ee,#7440a5,#dfbc52
Xiamen Airlines,#f2f1ec,#3a7fdd,#272940
Air Europa,#f3f2ed,#479fe0,#f3f3ed
Air New Zealand,#f0efea,#030303,#f4f3ee
Air Tahiti Nui,#387fd3,#64b9cc,#a52218
British Airways,#f4f3ed,#d53a2f,#283b6b
Gulf Air,#e3e3dc,#2b3458,#b5a674
Hainan Airlines,#ed0012,#efd202,#f3f2eb
Hawaiian Airlines,#413795,#c03fb3,#cacdcc
Juneyao Air,#781521,#f6ea52,#fbfbfa
Boeing,#4aa1d8,#2c3e6b,#cbcec7
Norse Atlantic Airways,#0550ae,#a3d2e4,#d2dbdf
Norwegian Air Shuttle,#db4134,#040b5d,#f3f2ed
Qantas,#da362f,#f4f3ee,#40403e
Saudia,#10173c,#e8e8de,#ccc29b
Boeing,#eed449,#f4f3ee,#eed449
Boeing,#6bbfe5,#173365,#e53628
Turkish Airlines,#d62f23,#f3f2ed,#0d2a6d
Virgin Atlantic,#a1211e,#f4f3ed,#4c2655
Vistara,#4c1d45,#dac070,#f4f4ee
WestJet,#315285,#489fc2,#f4f3ee
Blue Angels 1,#3d539d,#e0d05c,#3b4f92
Generic Aggressor,#545452,#97a2a8,#c6c8c4
Kuwait Air Force,#939ea4,#929da3,#929da3
Maverick,#383732,#4b7f9f,#909ba2
VFA-105 Gunslingers,#95a0a6,#416039,#73e6dd
VFA-14 Tophatters,#919ca4,#1b2235,#ec6565
VFA-31 Tomcatters,#909ba2,#86403b,#353c4a
VFA-81 Sharknado,#8e99a1,#393734,#964137
VFA-87 Golden Warriors,#8d979d,#6c7170,#909ba2
VX-9 Vampires,#939ea5,#2e374f,#89403f
Air Force One,#6ecaf0,#b5a375,#c9dee7
Air France - Brit Air,#e0e2dd,#da4447,#354b79
Binter Canarias,#f0f0ef,#6acd68,#b6e467
Garuda Indonesia - Skyteam,#dde0dd,#3a4c6d,#3e4a69
Iberia - New Air Nostrum,#f3f3f2,#c85b6e,#e6cd66
Iberia - Retro Air Nostrum,#b93741,#f1d156,#ebece9
Bombardier,#cc373d,#87bb6d,#eff1f1
Air Canada Express,#afcfd6,#cb5764,#545857
Aruba Airlines,#f3f3f2,#4f80bd,#cbc06a
Bombardier,#f3f3f1,#2a4591,#d33e3d
Infinite Flight - 2018,#1c1d25,#f79725,#f6f7f5
Bombardier,#f2f2f1,#222c42,#cd5664
Kendell Airlines,#f2f3f1,#213d71,#e6d193
MexicanaLink,#55b7e3,#f3f3f2,#3c4f69
UTair Aviation,#304390,#f3f3f2,#7c7f7e
United Express - Old,#343b6d,#7fa4cb,#eff0ef
Adria Airways,#d8dad6,#405aa4,#61b2b7
American Eagle,#c0c2c2,#c2443b,#58b1dc
Bombardier,#eff0ef,#d5404d,#373d58
Bombardier,#f1f2f0,#65b2e1,#345dad
South African Express,#3d529d,#bca586,#4a7f72
United Express,#eff0ee,#3b3f5c,#9a7c5c
Bombardier,#f0f1ef,#253072,#efe25a
